ID,Full taxonomic name,Common name,Cultivation group (Rotational information),Sunlight requirements,Temperature class,Nutrient requirements,Preferred pH,Nutritional information,Energy Value per 100g raw Kcal,General Description,Sensitivities,Water Requirements,Plant Requirements,Descriptive Growing Season,Pests and Pathogens,Disease Management,Soil,Optimum Germination Temerature,Days to germination at optimum temperature,Plant growing ideal temperature,Length of gorwing to harvest,Image_product,image_plant
32,"Brassica rapa (Chinensis group)","Cabbage (Chinese)","Brassica","Full sun","Tender","High","6.0-7.5","Currently no data available.",0,"Also know as napa cabbage and is a close relation to pak choi.  This plant has crinkly pal green leaves that grown in a tight oval shaped head.  Can be eaten raw or cooked.","Currently no data available.","High","Chinese cabbage can handle full sun, but it grows best in partial shade. It needs about 3 - 5 hours of sun each day and can be harvested in 45 - 60 days.  It tolerates light frost, but exposure to cold temperatures in spring can trigger early bolting.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","13-24","6-10","10-24","45-60","32_1.jpg","32_2.jpg"
36,"Brassica oleracea","Calabrese","Brassica","partial shade","Tender","High","6.0-7.0","Currently no data available.",0,"Often described as broccoli, calabrese has one large head, but does produce smaller ones after the main head is harvested.","Currently no data available.","Medium","This cool-season crop grows best when daytime temperatures are in the high teens  °C .","Currently no data available.","Currently no data available.","Currently no data available.","Loamy and sandy","24","7","7-30","55-85","36_1.jpg","36_2.jpg"
38,"Apium graveolens (var. rapaceum)","Celeriac","Umbelliferae","Full sun","Hardy","Medium","5.5-6.5","Currently no data available.",0,"Also called turnip-rooted celery.  The whole plant can eaten. However, it is usually grown for its knobbly, odd-shaped root, which has a celery-like flavour.  It can be eaten raw or cooked.","Currently no data available.","High","Celeriac is hardier and more disease resistant than its relative celery. It is a moisture-loving plant that needs fertile, organic rich, moisture retentive soil.  Keep the soil constantly moist – it should never be allowed to dry out.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","21-24","11","15-18","90-120","38_1.jpg","38_2.jpg"
39,"Capsicum annuum (Longum group)","Chilli Pepper","Solanaceae","Full sun","Tender","High","7.0-8.5","Currently no data available.",0,"The fruit, the chilli peppers, vary wildly in size, shape and colour, they are green to start with and ripen to a rich red but they can also be orange, yellow, purple or brown.  Chillies are used to add heat to dishes and can be eaten cooked or raw.","Currently no data available.","Medium","Chilli plants love heat, and require 30°C or more for the fruit to ripen with night temperatures not general dropping below 15°C.  They grow best in rich and free draining soil, but will grow in any reasonably fertile soil.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy and sandy","30","10","17-","60-90","39_1.jpg","39_2.jpg"
40,"Allium schoenoprasum","Chives","Allium","Full sun/partial shade/full shade","Hardy","Low","6.0-7.5","Currently no data available.",0,"A member of the onion family. Chives take up very little space. The bulbs can be eaten as mild onions, the leaves are great in salads and as flavouring, and the flower heads add a splash of colour to any dish.","Currently no data available.","Medium","Chives are perennial plants that do best in moisture retentive, well-drained soil. They prefer well-dug soil with the addition of well-rotted compost or organic material.   However, they will grow in almost any soil and are fairly tolerant of drought.","Currently no data available.","Currently no data available.","Currently no data available.","Sandy, clay and peat-rich soil","21","10","4-30","continual","40_1.jpg","40_2.jpg"
42,"Lepidium sativum","Cress","Miscellaneous","full sun/partial shade/ full shade","Tender","Low","6.0-7.0","Currently no data available.",0,"You can use entire seedlings for micro greens. However, when allowed to grow on to produce mature leaves, they can be used raw in salads.","Currently no data available.","Medium","Cress is a cool season annual. It grows well in loose soil with a sunny location and. Cress prefers a consistently moist soil, and thrives in hydroponics.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","10-18","5","10-18","7-11","42_1.jpg","42_2.jpg"
44,"Foeniculum vulgare","Fennel","Umbelliferae","Full sun","Hardy","High","6.0-7.0","Currently no data available.",0,"The whole plant is used for it’s aromatic, slightly sweet, and slightly spicy anise flavour.  The swollen leaf bases, the crispy stems and the delicate fonds for are used garnish. The blossoms are also highly prized for their pollen.","Currently no data available.","Medium","Fennel can be grown either as an annual for its swollen leaf bases or ‘bulbs’ and edible leaves. Or as an perennial herb for its leaves and seeds.  Once established it is a drought tolerant and prefers a sunny spot in light, free-draining soil.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","21","7","15-30","80-","44_1.jpg","44_2.jpg"
43,"Cichorium endivia","Endive","Miscellaneous","Full sun/partial shade","Half hardy","Low","6.0-7.0","Rich in many vitamins and minerals, especially in folate and vitamins A and K and is high in fibre.  It is used in salads, soups and sautéed",0,"A salad green similar to lettuce but stronger in flavour. It is commonly blanched before harvesting to give it a paler appearance and a milder flavour. It grows from a large rosette of light-green leaves in the centre that become dark towards outer edges.","Currently no data available.","Medium","Endive is a cool-season biennial grown as annuals.  They prefer soils that are light, rich and free draining, but any soil can be used as long as it is not waterlogged. Extender periods of temperatures less than 5°C or dry soil can cause ‘bolting’","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","21","6","10-25","70-85","43_1.jpg","43_2.jpg"
45,"Allium sativum","Garlic","Allium","Full sun/partial shade","Very hard","Low","5.5-7.5","Currently no data available.",0,"The bulb of the garlic plant has a very strong flavour. It is usually used cooked in small quantities as a flavouring.","Currently no data available.","Medium","Garlic is best planted between November and April and prefers a position in full sun with a well drained, light soil.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","Currently no data available.","Currently no data available.","Currently no data available.","70-","45_1.jpg","45_2.jpg"
46,"Zingiber officinale","Ginger","Miscellaneous","Partial shade","Tender","Medium","5.0-6.0","Currently no data available.",0,"This flowering plant is a herbaceous perennial grown for the rhizome, or root, which has a hot and fragrant flavour.  It has many uses from flavouring dishes to made into candy.","Currently no data available.","High","In warm climates it can be grown outdoors, chooses deep, enriched, sandy loam soil with part-day shade. In cooler climates, grow ginger in containers placed in sun, and move to partial shade during summer heat waves.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","240-","46_1.jpg","46_2.jpg"
47,"Brassica oleracea (Gongylodes group)","Kohlrabi","Brassica","Full sun/partial shade","Very hardy","Medium","6.0-7.5","Currently no data available.",0,"Also know and the ""turnip cabbage"", the  swollen stem has a sweet flavour and crunchy texture.","Currently no data available.","Medium","This odd looking brassica it is more drought resistant than most brassicas, and succeeds where swedes and turnips fail.  It does not need a deep soil, as it is the stem that grows into a bulb.
Provide soil that is free-draining but moisture retentive.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","26","4","Currently no data available.","70-80","47_1.jpg","47_2.jpg"
48," Allium ampeloprasum","Leek","Allium","Full sun/partial shade","Very hardy","Medium","6.5-7.5","Currently no data available.",0,"A member of the onion family that produces a long cylinder of leaves.  Often blanched by placing soil round the stems as they grow, to keep the lower part of the leaves white.","Currently no data available.","Medium","Leeks are very hardy vegetables that grow best on a moist, light soil that’s had plenty of organic matter added to it.  Grow leeks in a sunny, open position in well-dug soil.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","21","7","Currently no data available.","85-150","48_1.jpg","48_2.jpg"
49,"Valerianella locusta","Lettuce (Lambs/Corn Salad)","Miscellaneous","Full sun","Tender","Medium","6.0-7.0","Currently no data available.",0,"A small annual plant who’s leaves are eaten raw as salad greens.  It has a characteristic nutty flavour, dark green colour, and a soft texture.","Currently no data available.","High","Corn salad grows best on fertilizer remaining in the bed after summer crops have been harvested, but will grow vigorously in almost any soil.  It is a hardy survivor and will be bountiful in the early spring.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","13","7","4-27","30-60","49_1.jpg","49_2.jpg"
50,"Lactuca sativa","Lettuce (Loose Leaf)","Miscellaneous","Partial shade","Tender","Medium","6.0-7.0","Currently no data available.",0,"The crisp leaves of lettuce are used in salads.  There is no tight head in these varieties and for this reason are more perishable.","Currently no data available.","High","Grow lettuces in full sun on moisture-retentive soil, by choosing the right varieties and you can have lettuce almost all year round.  High soil temperatures in summer can prevent some cultivars from germinating.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","24","Currently no data available.","4-27","60-","50_1.jpg","50_2.jpg"
51,"Claytonia perfoliata","Winter Purslane (Miners lettuce)","Miscellaneous","Full sun/partial shade","Very hardy","Medium","6.0-7.0","Currently no data available.",0,"These succulent and juicy leaves are on of the hardiest salad leaves and can be grown all year round.","Currently no data available.","High","Plants do best in a slightly shaded position, protected from harsh hot weather.  Keep soil moist during dry periods, and can tolerate frost.  This plant is a prolific self seeder, and can tolerate low fertility.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","10","Currently no data available.","4-27","60-","51_1.jpg","51_2.jpg"
52,"Pisum sativum (var. macrocarpon)","Mangetout","Legume","Full sun/partial shade","Half hardy","Medium","6.0-7.0","Currently no data available.",0,"A flat podded variety of pea eaten whole while the peas within are still small.","Currently no data available.","Medium","Require a sunny position with well drained rich soil.  Provide something for plants to climb up.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","11","6","4-24","50-170","52_1.jpg","52_2.jpg"
53,"Cucurbita pepo","Marrow","Cucurbit","Full sun","Tender","High","6.0-7.5","Currently no data available.",0,"The mature fruit of the courgette.","Currently no data available.","Medium","Easy to grow and will crop prolifically.  They require the soil to be constantly moist, but water round the plant not over them.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","21","7","Currently no data available.","85-90","53_1.jpg","53_2.jpg"
54,"Brassica juncea (var. japonica)","Mizuna","Brassica","Full sun/partial shade","Hardy","High","6.5-7.0","Currently no data available.",0,"A finely desiccated leaf with a peppery flavour.  Used in salads or stir-frys.","Currently no data available.","High","Prefer to be grown on rich, loamy soils with high water retention.  Grow in and open sunny position with some shade as this plant dislikes extreme heat.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","21-50","54_1.jpg","54_2.jpg"
55,"Brassicaceae sinapis alba","Mustard","Brassica","Full sun/partial shade","Hardy","Medium","6.0-7.5","Currently no data available.",0,"Grown for the round hard seeds, but the leaves can also be eaten prior to flowering.  In warm weather the taste is stronger.","Currently no data available.","Medium","Easy to grow as not only do these thrive in cool weather, but they are also heat tolerant.  Can also be grown as a green manure in in late summer.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","30-50","55_1.jpg","55_2.jpg"
56,"Abelmoschus esculentus","Okra","Miscellaneous","Full sun","Tender","Medium","6.0-7.5","Currently no data available.",0,"A tapering seed pod which produces a sticky, viscous liquid when cooked which thickens soups and sauces.  Widely used in Indian and Caribbean dishes, or whole as a side dish.","Currently no data available.","High","Okra likes well drained soil warm weather and full sun, seed pods are best picked a week after pollination while still tender. Soak seeds overnight before planting.","Currently no data available.","Currently no data available.","Currently no data available."," Loamy","35","6","Currently no data available.","50-60","56_1.jpg","56_2.jpg"
57,"Allium cepa","Onion","Allium","Full sun/partial shade","Hardy","Medium","6.0-7.0","Currently no data available.",0,"Onion is a multi layered bulb which has a sharp pungent flavour.  Used raw in salad or cooked to add flavour to dishes.","Currently no data available.","Medium","Onions can be grown from either seed or a set (small bulb).  They are easy to grow and can be planted in the spring, or autumn in most soil types.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy, clay and sandy","24","6","10-35","90-130","57_1.jpg","57_2.jpg"
58,"Allium cepa","Onion (Autumn planted)","Allium","Full sun/partial shade","Hardy","Medium","6.0-7.0","Currently no data available.",0,"Onion is a multi layered bulb which has a sharp pungent flavour.  Used raw in salad or cooked to add flavour to dishes.","Currently no data available.","Medium","Onions can be grown from either seed or a set (small bulb).  They are easy to grow and can be planted in the spring, or autumn in most soil types.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy, clay and sandy","24","6","Currently no data available.","90-130","58_1.jpg","58_2.jpg"
59,"Allium fistulosum","Onions (Perennial)","Allium","Full sun/partial shade","Very hardy","Low","6.0-7.0","Currently no data available.",0,"These plants don’t develop bulbs, but have hollow leaves with the distinctive taste of onion.  Seeds can also be used as sprouts.","Currently no data available.","Medium","Easy to grow, and only require watering when dry, and feed occasionally.  Will grow in most climates.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy and sandy","24","6","Currently no data available.","60 -","59_1.jpg","59_2.jpg"
60,"Allium cepa","Onions (Red)","Allium","Full sun/partial shade","Very hardy","Medium","6.0-7.0","Currently no data available.",0,"Onion is a multi layered bulb which has a sharp pungent flavour.  Used raw in salad or cooked to add flavour to dishes.","Currently no data available.","Medium","Onions can be grown from either seed or a set (small bulb).  They are easy to grow and can be planted in the spring, or autumn in most soil types.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy, clay and sandy","24","6","Currently no data available.","90-130","60_1.jpg","60_2.jpg"
62,"Pastinaca sativa","Parsnip","Umbelliferae","Full sun/partial shade","Half hardy","Low","5.5-7.5","Currently no data available.",0,"Closely related to the carrot,  and grown for it's swollen root.  Becomes sweeter after a frost.","Currently no data available.","Medium","Will grow in most soils, but do best in light rich soils which are stone free.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","18","14","10-21","80-120","62_1.jpg","62_2.jpg"
63,"Capsicum annuum (Grossum group)","Bell Pepper","Solanaceae","Full sun/partial shade","Tender","High","5.5-7.0","Currently no data available.",31,"Bell or Sweet Peppers come in many different colours, sizes and flavours.  They are all categorized by their rating on the Scoville Scale - the standard for describing hotness. Sweet  peppers have a rating or 0 or 1 and placed in the Grossum group.","Currently no data available.","Medium","Sweet pepper grows as an annual in well drained soil, but be sure to maintain adequate moisture either with mulch or plastic covering. They are also heat sensitive (above 30ºC), so mulching during the summer months helps keep the soil temperature down.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy and silty","30","8","17-35","60-80","63_1.jpg","63_2.jpg"
64,"Solanum tuberosum","Potatoes (Early)","Solanaceae","Full sun","Tender","Low","4.5-6.0","Currently no data available.",0,"A versatile tuber which is high in starch and a staple ingredient in many meals.  Comes in many different varieties,  with different cooking properties.  Some suited to frying, others to boiling.","Currently no data available.","Medium","Plant once soil temperatures are above 7°C.  Potatoes are planted in ridges with the soil drawn up round the stems to protect the swelling tubers from sunlight.","Currently no data available.","Currently no data available.","Currently no data available.","Well-drained, fertile and high in organic matter. Loamy and clay","Currently no data available.","Currently no data available.","7-26","90-115","64_1.jpg","64_2.jpg"
65,"Solanum tuberosum","Potatoes (Main crop)","Solanaceae","Full sun","Tender","Low","4.5-6.0","Currently no data available.",0,"A versatile tuber which is high in starch and a staple ingredient in many meals.  Comes in many different varieties,  with different cooking properties.  Some suited to frying, others to boiling.","Currently no data available.","Medium","Plant once soil temperatures are above 7°C.  Potatoes are planted in ridges with the soil drawn up round the stems to protect the swelling tubers from sunlight.","Currently no data available.","Currently no data available.","Currently no data available.","Well-drained, fertile and high in organic matter.  Loamy and clay","Currently no data available.","Currently no data available.","7-26","100-115","65_1.jpg","65_2.jpg"
66,"Portulaca oleracea","Purslane","Miscellaneous","Full sun/partial shade","Hardy","Low","5.5-7.0","Currently no data available.",0,"Purslane is an annual succulent that is eaten either fresh as a salad, or cooked similar to spinach.  Its flavour is slightly sour and salty.","Currently no data available.","Low","Purslane is a fast-growing annual with succulent leaves and stems, often considered a weed. Will grow in any soil, and does best in warm weather with regular water.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy, sandy and silty","32","Currently no data available.","Currently no data available.","40-100","66_1.jpg","66_2.jpg"
67,"Chenopodium quinoa","Quinoa","Miscellaneous","Full sun","Tender","Low","6.0-7.0","Currently no data available.",0,"Mainly grown for it's seeds which are cooked like rice.  The outer coating of the seed is bitter in taste and requires removing.  Quinoa is also gluten free, and high in protein.","Currently no data available.","Low","Quinoa is a cool season crop that requires full sun.  Described as disease-free and drought-tolerant, they thrive in rich and well drained soil. Once established, they produce abundant harvests under dry conditions.","Currently no data available.","Currently no data available.","Currently no data available.","Well-drained, fertile and loamy","18-24","4","15-20","90-120","67_1.jpg","67_2.jpg"
68,"Raphanus raphanistrum (subsp. sativus)","Radish","Brassica","Full sun/partial shade","Half hardy","Low","6.0-7.0","Currently no data available.",0,"This swollen root is a crunchy salad vegetable with a sharp sweet flavour.","Currently no data available.","Medium","A cool season crop which is fast to mature and easy to grow.  Requires full sun and moisture.  Can be grown as a 'catch crop' between rows of slower maturing vegetables, or as a row marker in slow to germinate crops.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy, clay and sandy","30","4","Currently no data available.","25-50","68_1.jpg","68_2.jpg"
69,"Rheum rhabarbarum","Rhubarb","Miscellaneous","Full sun/partial shade","Hardy","Low","5.5-7.0","Currently no data available.",0,"The crisp sharp flavoured stalks of this perennial can be eaten raw, but normally cooked with sugar and prepared similar to fruit.  The large leaves are not eaten as they contain oxalic acid that can cause poisoning.","Currently no data available.","Medium","Rhubarb prefers an open sunny site with well drained soil.  Do not allow the crowns to be covered as they are prone to rotting.","perennial","Currently no data available.","Currently no data available.","Currently no data available.","21","7","24","x","69_1.jpg","69_2.jpg"
70,"Brassicaceae eruca sativa","Rocket","Brassica","Full sun/partial shade","Half hardy","Low","6.0-7.0","Currently no data available.",0,"An edible herb which is used as a leafy salad vegetable.  Also used in cooking due to it's strong peppery flavour.","Currently no data available.","Medium","Plants prefer some shade to keep the leaves tender, and keeping the soil moist and the plants growing will prevent them going to seed.  Can be sown throughout the spring and summer for continual cropping.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","18-22","6","Currently no data available.","40-90","70_1.jpg","70_2.jpg"
71,"Tragopogon porrifolius","Salsify","Miscellaneous","Full sun","Half hardy","Low","6.0-7.5","Currently no data available.",0,"Used in a similar way to other root vegetables (mashed, boiled or roasted).  This creamy fleshed taproot with its oyster like taste makes a welcome change.","Currently no data available.","Medium","An easy slow growing cool weather plant that likes loose rich soil.  The edible roots will become fibrous if watering is not even and adequate.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy and sandy","21","6","Currently no data available.","120-","71_1.jpg","71_2.jpg"
72,"Scorzonera hispanica","Scorzonera (Black salsify)","Miscellaneous","Full sun","Hardy","Low","6.0-7.0","Currently no data available.",0,"Used in a similar way to other root vegetables (mashed, boiled or roasted).  This creamy fleshed taproot with its oyster like taste makes a welcome change.","Currently no data available.","Medium","An easy slow growing cool weather plant that likes loose rich soil.  The edible roots will become fibrous if watering is not even and adequate.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy and sandy","21","6","Currently no data available.","120-","72_1.jpg","72_2.jpg"
73,"Allium cepa (var. aggregatum)","Shallots","Allium","Full sun","Very hardy","Low","6.0-7.0","Currently no data available.",0,"Similar to onions, but are smaller and grow in clumps.","Currently no data available.","Medium","Easy to grow and will do well in any well-drained fertile soil.  They do not require much attention, but will need a long growing period and a sunny position.  Water when weather is dry, and remove flowers as soon as possible.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","24","21","Currently no data available.","90-","73_1.jpg","73_2.jpg"
74,"Rumex acetosa","Sorrel","Miscellaneous","Full sun/partial shade","Very hardy","Medium","5.5-7.0","Currently no data available.",0,"Sorrel is a sour tasting leafy herb used raw in salads, or used as a herb in cooking.","Currently no data available.","Medium","This perennial plant grows well in a lightly shaded spot, do not allow to dry out.  Established plants can be divided.","Currently no data available.","Currently no data available.","Currently no data available.","Well drained","20","7","Currently no data available.","60-","74_1.jpg","74_2.jpg"
75,"Glycine max","Soybean","Legume","Full sun","Half hardy","Medium","6.0-7.0","Currently no data available.",0,"When to harvest soybean will depend on how you want use the crop.  When green they can be cooked and used as vegetables, when the mature and turn brown they can be harvested and stored dry.","Currently no data available.","Medium","Soya is a warm climate plant requiring temperatures of 20-30°C over the growing season.  They will also require space as they can grow up to 1.2m high.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","24","Currently no data available.","Currently no data available.","90-100","75_1.jpg","75_2.jpg"
76,"Spinacia oleracea","Spinach","Chenopodiaceae","Full sun/partial shade","Half hardy","Medium","6.0-7.5","Currently no data available.",0,"The green leafs of the spinach plant can be eater raw in salads or cooked as a side dish or as an ingredient for cooking.","Currently no data available.","Medium","Prefers a sunny or slightly shaded plot with moisture retentive soil.  Plants will need 30cm spacing and feeding with high nitrogen fertiliser ever 2 weeks.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","21","5","Currently no data available.","50-65","76_1.jpg","76_2.jpg"
77,"Tetragonia tetragonioides","Spinach (New Zealand)","Miscellaneous","Full sun/partial shade","Tender","Low","6.5-7.0","Currently no data available.",0,"Used in the same way as spinach, but the leaves are smaller.","Currently no data available.","Medium","Prefers warmer weather than regular spinach. Although drought resistant retaining soil moisture maintains full growth potential.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","10-20","15-24","55-65","77_1.jpg","77_2.jpg"
78,"Beta vulgaris (subsp.cicla)","Spinach (Perpetual)","Chenopodiaceae","Full sun/partial shade","Very hardy","Low","6.0-7.0","Currently no data available.",0,"Used in the same way as spinach, but will tolerate dryer conditions and not run to seed.","Currently no data available.","Medium","Easier to grow and more vigorous than true spinach.  It likes well worked well drained soil with a high organic content, but will still do well in shadier areas with poor soil.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","30","4","Currently no data available.","30-45","78_1.jpg","78_2.jpg"
79,"Allium cepa (var. aggregatum)","Spring Onion / Scallions","Allium","Full sun/partial shade","Very hardy","Low","6.0-7.0","Currently no data available.",0,"Spring onion have a mild flavour ideal for using in salads or in dishes where onion would be overpowering.","Currently no data available.","Medium","Can be sown directly where they are to be grown, but ensure the plot has not been freshly manured.  Keep well watered.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","24","6","Currently no data available.","60-","79_1.jpg","79_2.jpg"
80,"Cucurbita pepo","Squash (Summer)","Cucurbit","Full sun","Tender","High","6.0-7.0","Currently no data available.",0,"Summer squashes are harvested when immature and the outer skin is still soft and edible. Unlike winter squash, these do not store well.","Currently no data available.","Medium","Summer squash likes a sunny, sheltered position in a soil that is humus rich and moisture retentive.  They will require a large area to spread (120cm) and not compete with other plants.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","35","4","10-32","45-75","80_1.jpg","80_2.jpg"
81,"Cucurbita maxima","Squash (Winter)","Cucurbit","Full sun","Tender","High","5.5-7.0","Currently no data available.",0,"These vegetables have solid orange flesh that is ideal for many methods of cooking.  They also store well.","Currently no data available.","Medium","Winter squash likes a sunny, sheltered position in a soil that is humus rich and moisture retentive.  They will require a large area to spread (120cm) and not compete with other plants.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","35","5","10-32","85-120","81_1.jpg","81_2.jpg"
82," 	Brassica napus","Swede / Rutabaga","Brassica","Full sun/partial shade","Hardy","Low","5.5-7.0","Currently no data available.",0,"The yellow flesh of the swede is sweeter and milder than the turnip and is traditionally served mashed with potato and haggis in Scotland.","Currently no data available.","Medium","This frost tolerant hardy plant is easy to grow and thrives in most soil types.  It can be left in the ground over winter and harvested as required.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","26","4","Currently no data available.","80-100","82_1.jpg","82_2.jpg"
83,"Ipomoea batatas","Sweet Potato","Miscellaneous","Full sun","Half hardy","Medium","5.5-6.0","Currently no data available.",0,"A starchy sweet tasting root vegetable that is best backed, roasted or mashed.","Currently no data available.","Medium","Sweet potatoes are grown from 'slips' which must be hydrated in water before planting.  They need full sun and high temperatures to provide good yields.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy, sandy and silty","Currently no data available.","Currently no data available.","21-26","100-125","83_1.jpg","83_2.jpg"
84," 	Zea mayvar. Saccharata","Sweetcorn","Miscellaneous","Full sun","Tender","Low","6.0-7.0","Currently no data available.",0,"Sweet corn is a variety of maize which is high in sugar and harvested while immature, at this stage it is considered a vegetable and used cooked.  At this stage of maturity it does not store well so should be eaten fresh.","Currently no data available.","High","Sweet corn is most successful in long hot summers.  As they are wind pollinated they should be grown in blocks not rows.  Prefers moist well fertilised soil .  Corn is ready when the tassels turn brown, and the juice from the kernels is milky.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy and clay","30","3","16-35","70-100","84_1.jpg","84_2.jpg"
85," 	Beta vulgari (subsp. vulgaris)","Swiss Chard","Chenopodiaceae","Full sun/partial shade","Very hardy","Low","6.0-7.5","Currently no data available.",0,"Swiss chard is leafy green vegetable.  Often the stalk is separated from the leaf and prepared separately.","Currently no data available.","Medium","Grows best in a sunny position in rich soil that is free draining and moisture retentive.  One sowing will provide a crop that will last many months.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy and clay","30","4","Currently no data available.","50-60","85_1.jpg","85_2.jpg"
86,"Brassica rapa (subsp. narinosa)","Tatsoi","Brassica","Full sun","Very hardy","Medium","6.0-7.5","Currently no data available.",0,"These small, spoon-shaped leaves look similar to spinach only grow to a few cms high.   They have a mild mustard-like flavour and are used raw in salads or cooked.","Currently no data available.","Medium","A low growing annual, Tatsoi plants thrive in cool weather, and tolerates light frost which can trigger bolting if exposed in spring, but later can  improve tatsoi's flavour, and can be harvested out from under a snowfall.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy soil",,"4","Currently no data available.","45-60","86_1.jpg","86_2.jpg"
87,"Solanum lycopersicum (var. cerasiforme)","Tomato (Cherry)","Solanum","Full sun","Tender","high","5.5-7.5","Currently no data available.",0,"The tomato is one of the most versatile fruit.  Eaten raw in salads, the base of many sauces.  It comes in many sizes from small cherry, to large frit that fill your hand.","Currently no data available.","Medium","Tomatoes are not hardy, so don’t expose the plants to frost, cold winds and draughts.  Seedlings are best kept at 18°C.  They require a lot of watering and are hungry plant.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy soil","26","6","16-30","65-85","87_1.jpg","87_2.jpg"
88,"Solanum lycopersicum","Tomato (Regular)","Solanum","Full sun","Tender","High","5.5-7.5","Currently no data available.",0,"The tomato is one of the most versatile fruit.  Eaten raw in salads, the base of many sauces.  It comes in many sizes from small cherry, to large frit that fill your hand.","Currently no data available.","Medium","Tomatoes are not hardy, so don’t expose the plants to frost, cold winds and draughts.  Seedlings are best kept at 18°C.  They require a lot of watering and are hungry plant.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","26","6","16-30","65-85","88_1.jpg","88_2.jpg"
89,"Vicia faba","Winter Field Beans","Legume","Full sun","Hardy","Medium","6.0-7.0","Currently no data available.",0,"Winter Beans are an incredibly generous green manure, providing a very cost-effective means of giving your soil a boost.","Currently no data available.","Very low","Sown in autumn they can also limit the effect of rain on otherwise bare soil. A cool-season annual that can tolerate heavy frost.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","10","Currently no data available.","Currently no data available.","90-180","89_1.jpg","89_2.jpg"
90,"Pisum sativum (subsp. arvense (L.) Asch)","Winter Peas","Legume","Full sun","Very hardy","Medium","6.0-7.0","Currently no data available.",0,"Field peas are an incredibly generous green manure, providing a very cost-effective means of giving your soil a boost.","Currently no data available.","Low"," Sown in autumn they can also limit the effect of rain on otherwise bare soil. A cool-season annual, that can tolerate heavy frost.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","90_1.jpg","90_2.jpg"
92,"Ocimum basilicum","Basil","Lamiaceae","Full sun","Very tender","Low","5.5-6.5","Currently no data available.",0,"A fragrant, easy to grow warm weather leafy herb, that used extensively in Italian dishes.","Currently no data available.","high","For best results plant outside once soil is over 20oC.  Basil likes moisture, so mulching in hot weather will help retain moisture.  Remove flowers as they appear to keep plants productive.","Currently no data available.","Currently no data available.","Currently no data available.","Loam, Sand","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","92_1.jpg","92_2.jpg"
